Website ID;Website-Name;Category Name;Category Comment;Seiten-ID;Seitenname;Platzierungs ID;Platzierungsname;"Platzierungsgr&#246;&#223;e";Platzierungsposition;Platzierungstyp;Platzierungsstatus;Kommission CPM;Kommission Typ;Kommission CPC;Kommission Typ;Contact name;Kontakt-E-Mail;"Bannergr&#246;&#223;en-ID";Alias;Ext.-ID;Mediatype ID;Platzierungsklasse
1179263;grenchnertagblatt.ch_2015;;;783708;Static;5720184;Static Top Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783708;Static;5720186;Static Content Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783711;Home;5720136;Home Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783708;Static;5720147;Static Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783708;Static;5720148;Static Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720153;Artikel Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783711;Home;5720158;Home Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720160;Artikel Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783708;Static;5720164;Static Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720166;Artikel Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783709;Ressort;5720173;Ressort Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783709;Ressort;5720174;Ressort Content Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783709;Ressort;5720176;Ressort Top Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783711;Home;5720180;Home Bottom Board Desktop;994 x 250;default;default;active;;;;; ;;5401;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720130;Artikel Ad SnippedRelated Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720146;Artikel Ad SnippedPopular Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720152;Artikel Ad Snipped1 Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179263;grenchnertagblatt.ch_2015;;;783710;Artikel;5720185;Artikel Ad Snipped2 Native;210 x 60;default;default;active;;;;; ;;5903;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720197;Artikel Layer/Interstitial Mobile;1 x 1;default;default;active;;;;; ;;16;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720194;Static Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720219;Ressort Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720222;Home Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720224;Artikel Side Ad Desktop;160 x 600;default;default;active;;;;; ;;154;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720209;Home Escalator Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720213;Artikel Rectangle Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720223;Ressort Escalator Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720233;Ressort Rectangle Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720235;Home Rectangle Desktop;300 x 250;default;default;active;;;;; ;;170;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720187;Home Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720189;Artikel Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720190;Static Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720195;Artikel Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720204;Static Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720205;Ressort Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720206;Ressort Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720207;Home Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
